gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
010086,STC,STEWART INFORMATION SERVICES,2024,2487.219,2286.882,,138.725,73.31,2730.145
014269,HLF,HERBALIFE LTD,2024,4993.1,2712.4,1700.4,458.9,254.3,2728.1
005608,HXL,HEXCEL CORP,2024,1903.0,1308.9,233.7,236.1,132.1,2725.6
005087,SPXC,SPX TECHNOLOGIES INC,2024,1983.9,1156.0,402.9,333.8,200.5,2714.5
015414,TECH,BIO-TECHNE CORP,2024,1159.06,307.475,491.637,248.237,168.105,2703.867
010840,UNF,UNIFIRST CORP,2024,2427.431,1578.859,521.322,183.578,145.474,2696.413
038931,CFLT,CONFLUENT INC,2024,963.642,235.381,1098.15,-391.978,-345.065,2694.911
011499,WLY,WILEY (JOHN) & SONS  -CL A,2024,1677.609,352.686,947.437,247.77,84.161,2691.466
009317,SEIC,SEI INVESTMENTS CO,2024,2125.151,1500.051,,550.194,581.191,2684.606
183640,IRDM,IRIDIUM COMMUNICATIONS INC,2024,830.682,230.567,193.53,203.458,112.776,2671.471
